assists,bonus,bps,chance_of_playing_next_round,chance_of_playing_this_round,clean_sheets,code,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,creativity,dreamteam_count,ea_index,element_type,ep_next,ep_this,event_points,first_name,form,goals_conceded,goals_scored,ict_index,id,in_dreamteam,influence,loaned_in,loaned_out,loans_in,loans_out,minutes,news,news_added,now_cost,own_goals,penalties_missed,penalties_saved,photo,points_per_game,red_cards,saves,second_name,selected_by_percent,special,squad_number,status,team,team_code,threat,total_points,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,web_name,yellow_cards,date
0,0,24,,,0,11334,0,0,0,0,0.0,0,0,1,2.7,2.2,3,Petr,3.0,2,0,4.7,1,False,47.0,0,0,0,0,90,,,50,0,0,0,11334.jpg,3.0,0,6,Cech,1.7,False,1.0,a,1,3,0.0,3,4265,4265,3671,3671,0.6,0.6,Cech,0,2018-08-15
0,0,0,,,0,80201,0,0,0,0,0.0,0,0,1,2.7,2.2,0,Bernd,0.0,0,0,0.0,2,False,0.0,0,0,0,0,0,,,50,0,0,0,80201.jpg,0.0,0,0,Leno,2.3,False,19.0,a,1,3,0.0,0,1549,1549,10313,10313,0.0,0.0,Leno,0,2018-08-15
0,0,0,0.0,0.0,0,51507,0,0,0,0,0.0,0,0,2,0.0,0.0,0,Laurent,0.0,0,0,0.0,3,False,0.0,0,0,0,0,0,Achilles injury - Unknown return date,2018-07-05T14:31:07Z,55,0,0,0,51507.jpg,0.0,0,0,Koscielny,0.1,False,6.0,i,1,3,0.0,0,110,110,956,956,0.0,0.0,Koscielny,0,2018-08-15
0,0,17,,,0,98745,0,0,0,0,11.7,0,0,2,2.7,2.2,1,Héctor,1.0,2,0,6.2,4,False,27.0,0,0,0,0,90,,,55,0,0,0,98745.jpg,1.0,0,0,Bellerín,14.6,False,2.0,a,1,3,23.0,1,9099,9099,47915,47915,0.2,0.2,Bellerín,0,2018-08-15
0,0,0,25.0,25.0,0,38411,0,0,0,0,0.0,0,0,2,0.7,0.5,0,Nacho,0.0,0,0,0.0,5,False,0.0,0,0,0,0,0,Knee injury - 25% chance of playing,2018-08-05T10:31:10Z,55,0,0,0,38411.jpg,0.0,0,0,Monreal,0.8,False,18.0,d,1,3,0.0,0,132,132,7908,7908,0.0,0.0,Monreal,0,2018-08-15
0,0,0,,,0,156074,0,0,0,0,0.0,0,0,2,1.7,1.2,0,Rob,0.0,0,0,0.0,6,False,0.0,0,0,0,0,0,,,45,0,0,0,156074.jpg,0.0,0,0,Holding,0.7,False,16.0,a,1,3,0.0,0,978,978,3031,3031,0.0,0.0,Holding,0,2018-08-15
0,0,16,,,0,69140,0,0,0,0,0.2,0,0,2,2.7,2.2,1,Shkodran,1.0,2,0,4.7,7,False,29.4,0,0,0,0,90,,,55,0,0,0,69140.jpg,1.0,0,0,Mustafi,1.4,False,20.0,a,1,3,17.0,1,1370,1370,4918,4918,0.2,0.2,Mustafi,0,2018-08-15
0,0,0,0.0,0.0,0,111457,0,0,0,0,0.0,0,0,2,0.0,0.0,0,Sead,0.0,0,0,0.0,8,False,0.0,0,0,0,0,0,Knee injury - Expected back 20 Oct,2018-08-02T07:01:09Z,50,0,0,0,111457.jpg,0.0,0,0,Kolasinac,0.5,False,31.0,i,1,3,0.0,0,181,181,7020,7020,0.0,0.0,Kolasinac,0,2018-08-15
0,0,0,,,0,233963,0,0,0,0,0.0,0,0,2,2.1,1.6,0,Konstantinos,0.0,0,0,0.0,10,False,0.0,0,0,0,0,0,,,50,0,0,0,233963.jpg,0.0,0,0,Mavropanos,0.2,False,27.0,a,1,3,0.0,0,316,316,1352,1352,0.0,0.0,Mavropanos,0,2018-08-15
0,0,0,,,0,27335,0,0,0,0,5.8,0,0,2,2.1,1.6,1,Stephan,1.0,1,0,0.9,11,False,1.0,0,0,0,0,55,,,50,0,0,0,27335.jpg,1.0,0,0,Lichtsteiner,2.4,False,12.0,a,1,3,2.0,1,3481,3481,9876,9876,0.2,0.2,Lichtsteiner,0,2018-08-15
